record_number,temperature,rate_coefficient,rate_coefficient_error,data_source
11276,1E+3,2.350000000000000084000076558E-13,3.4e-14,NIFS
11276,2E+3,9.499999999999999909897348346E-13,8.1e-14,NIFS
11276,4E+3,4.42000000000000014939808477E-12,2.7e-13,NIFS
11563,1E+3,8.109999999999999653107675793E-11,6.5e-13,NIFS
11563,2E+3,1.910000000000000125161694279E-10,1.1e-12,NIFS
11563,4E+3,4.219999999999999903004749491E-10,2.1e-12,NIFS
10907,1E+3,7.689999999999999746373608318E-12,2e-13,NIFS
10907,2E+3,1.4799999999999999944660455E-11,3.2e-13,NIFS
10907,4E+3,2.269999999999999980595981044E-11,5.4e-13,NIFS
11282,1E+3,6.079999999999999942334302942E-12,1.8e-13,NIFS
11282,2E+3,1.38000000000000001667221991E-11,3.2e-13,NIFS
11282,4E+3,2.959999999999999988932090999E-11,6.2e-13,NIFS
10908,1E+3,7.100000000000000038948750731E-12,1.9e-13,NIFS
10908,2E+3,1.360000000000000021113454793E-11,3.1e-13,NIFS
10908,4E+3,2.090000000000000020567094983E-11,5.2e-13,NIFS
11283,1E+3,7.820000000000000202181721752E-12,2e-13,NIFS
11283,2E+3,1.879999999999999905641347857E-11,3.8e-13,NIFS
11283,4E+3,4.079999999999999740222937599E-11,7.3e-13,NIFS
10917,1E+3,4.469999999999999815177570787E-11,4.9e-13,NIFS
10917,2E+3,8.260000000000000427591981123E-11,7.4e-13,NIFS
10917,4E+3,1.369999999999999921957609318E-10,1.4e-12,NIFS
11292,1E+3,3.500000000000000232525854307E-13,4.3e-14,NIFS
11292,2E+3,1.730000000000000100509322862E-12,1.1e-13,NIFS
11292,4E+3,6.390000000000000035053875658E-12,2.9e-13,NIFS
10918,1E+3,5.600000000000000372041366892E-12,1.7e-13,NIFS
10918,2E+3,1.20000000000000005664333385E-11,3e-13,NIFS
10918,4E+3,2.159999999999999843464059507E-11,5.4e-13,NIFS
11293,1E+3,4.079999999999999780612615946E-13,4.6e-14,NIFS
11293,2E+3,1.469999999999999996686662941E-12,1e-13,NIFS
11293,4E+3,4.470000000000000138294997565E-12,2.5e-13,NIFS
10919,1E+3,2.160000000000000085802129591E-12,1.1e-13,NIFS
10919,2E+3,4.559999999999999956750727206E-12,1.8e-13,NIFS
10919,4E+3,6.769999999999999627552986118E-12,3e-13,NIFS
11294,1E+3,3.500000000000000232525854307E-13,4.3e-14,NIFS
11294,2E+3,1.349999999999999902165037192E-12,1e-13,NIFS
11294,4E+3,3.489999999999999871239366622E-12,2.2e-13,NIFS
10920,1E+3,7.740000000000000341115696322E-13,6.3e-14,NIFS
10920,2E+3,1.33999999999999994477533298E-12,9.9e-14,NIFS
10920,4E+3,1.880000000000000067200061246E-12,1.6e-13,NIFS
11295,1E+3,2.350000000000000084000076558E-13,3.5e-14,NIFS
11295,2E+3,8.059999999999999987328189777E-13,8.3e-14,NIFS
11295,4E+3,2.149999999999999926464033642E-12,1.7e-13,NIFS
10921,1E+3,1.460000000000000089784056663E-13,2.8e-14,NIFS
10921,2E+3,1.919999999999999896758878092E-13,3.8e-14,NIFS
10921,4E+3,2.840000000000000015579500292E-13,6.2e-14,NIFS
11296,1E+3,1.410000000000000050400045935E-13,2.7e-14,NIFS
11296,2E+3,3.249999999999999783170310993E-13,4.9e-14,NIFS
11296,4E+3,4.870000000000000453367083395E-13,8.1e-14,NIFS
10909,1E+3,7.910000000000000020637451393E-12,2.1e-13,NIFS
10909,2E+3,1.459999999999999998907280382E-11,3.2e-13,NIFS
10909,4E+3,2.170000000000000002802155455E-11,5.4e-13,NIFS
11284,1E+3,1.120000000000000074408273378E-11,2.5e-13,NIFS
11284,2E+3,2.549999999999999918418692694E-11,4.3e-13,NIFS
11284,4E+3,5.209999999999999973969306926E-11,8.3e-13,NIFS
10910,1E+3,8.919999999999999957913803234E-12,2.1e-13,NIFS
10910,2E+3,1.599999999999999967818636207E-11,3.4e-13,NIFS
10910,4E+3,2.509999999999999927301162458E-11,5.8e-13,NIFS
11285,1E+3,1.390000000000000014451602469E-11,2.6e-13,NIFS
11285,2E+3,3.140000000000000272078403839E-11,4.7e-13,NIFS
11285,4E+3,6.010000000000000442554765197E-11,9e-13,NIFS
10911,1E+3,9.509999999999999665338660821E-12,2.2e-13,NIFS
10911,2E+3,1.770000000000000091626853098E-11,3.5e-13,NIFS
10911,4E+3,2.849999999999999851800169462E-11,6.3e-13,NIFS
11286,1E+3,1.450000000000000001127897823E-11,2.8e-14,NIFS
11286,2E+3,3.340000000000000227666055017E-11,5e-13,NIFS
11286,4E+3,6.510000000000000008406466365E-11,9.1e-13,NIFS
10912,1E+3,1.140000000000000069967038496E-11,2.4e-13,NIFS
10912,2E+3,2.349999999999999962831041516E-11,4.2e-13,NIFS
10912,4E+3,3.999999999999999757987877128E-11,7.2e-13,NIFS
11287,1E+3,5.700000000000000349835192481E-12,1.7e-13,NIFS
11287,2E+3,2.249999999999999985037215926E-11,4.1e-13,NIFS
11287,4E+3,5.569999999999999894027079047E-11,8.4e-13,NIFS
10913,1E+3,4.100000000000000058899129496E-11,5e-13,NIFS
10913,2E+3,8.200000000000000117798258991E-11,7.4e-13,NIFS
10913,4E+3,1.439999999999999938725029908E-10,1.4e-12,NIFS
11288,1E+3,1.059999999999999926173264636E-12,7.4e-14,NIFS
11288,2E+3,8.469999999999999250048021136E-12,2.5e-13,NIFS
11288,4E+3,3.489999999999999709680653233E-11,7e-13,NIFS
10914,1E+3,9.449999999999999420168424045E-10,2e-12,NIFS
10914,2E+3,1.190000000000000026552208613E-9,2e-12,NIFS
10914,4E+3,1.51999999999999992096009038E-9,3e-12,NIFS
11289,1E+3,6.590000000000000192589918573E-13,5.9e-14,NIFS
11289,2E+3,3.989999999999999760208494569E-12,1.7e-13,NIFS
11289,4E+3,1.979999999999999883435173446E-11,5.1e-13,NIFS
10915,1E+3,1.439999999999999938725029908E-10,9e-13,NIFS
10915,2E+3,2.709999999999999947512298993E-10,1.4e-12,NIFS
10915,4E+3,3.700000000000000147723827138E-10,2.2e-12,NIFS
11290,1E+3,5.699999999999999945938409008E-13,5.5e-14,NIFS
11290,2E+3,2.770000000000000111903179074E-12,1.4e-13,NIFS
11290,4E+3,1.20000000000000005664333385E-11,4e-13,NIFS
10916,1E+3,9.210000000000000248945066899E-10,2e-12,NIFS
10916,2E+3,1.139999999999999992418856069E-9,2e-12,NIFS
10916,4E+3,1.419999999999999852693385292E-9,4e-12,NIFS
11291,1E+3,4.920000000000000240315604453E-13,5.1e-14,NIFS
11291,2E+3,2.299999999999999893154772026E-12,1.3e-13,NIFS
11291,4E+3,7.320000000000000313212593806E-12,3.1e-13,NIFS
11569,1E+3,2.480000000000000224768698882E-10,1.2e-12,NIFS
11569,2E+3,5.229999999999999517163674554E-10,2.6e-12,NIFS
11569,4E+3,9.270000000000000041750906186E-10,4.6e-11,NIFS
10997,1E+3,7.630000000000000405932166522E-12,2.4e-13,NIFS
10997,2E+3,1.38000000000000001667221991E-11,4.7e-13,NIFS
10997,4E+3,1.93999999999999989231764321E-11,6.6e-13,NIFS
11372,1E+3,8.59999999999999970585613457E-12,2.6e-13,NIFS
11372,2E+3,1.699999999999999945612461796E-11,5.3e-13,NIFS
11372,4E+3,2.990000000000000143828952065E-11,8.4e-13,NIFS
10998,1E+3,7.54000000000000058747643688E-12,2.4e-13,NIFS
10998,2E+3,1.270000000000000041099011762E-11,4.6e-13,NIFS
10998,4E+3,1.799999999999999923406287385E-11,6.5e-13,NIFS
11373,1E+3,1.039999999999999930614499518E-11,2.8e-13,NIFS
11373,2E+3,1.999999999999999878993938564E-11,5.6e-13,NIFS
11373,4E+3,3.839999999999999793517756185E-11,9.2e-13,NIFS
11007,1E+3,5.950000000000000132761043065E-11,6.5e-13,NIFS
11007,2E+3,1.139999999999999940720067785E-10,1.4e-12,NIFS
11007,4E+3,1.770000000000000091626853098E-10,1.9e-12,NIFS
11382,1E+3,2.829999999999999856241404344E-12,1.5e-13,NIFS
11382,2E+3,1.120000000000000074408273378E-11,4.3e-13,NIFS
11382,4E+3,3.079999999999999962284681706E-11,8.3e-12,NIFS
11008,1E+3,7.629999999999999501203371542E-10,2.3e-12,NIFS
11008,2E+3,1.029999999999999958684511101E-9,3e-12,NIFS
11008,4E+3,1.54000000000000005869052328E-9,5e-12,NIFS
11383,1E+3,2.299999999999999893154772026E-12,1.3e-13,NIFS
11383,2E+3,7.699999999999999905711704266E-12,3.5e-13,NIFS
11383,4E+3,1.799999999999999923406287385E-11,6.5e-13,NIFS
11009,1E+3,5.859999999999999668070459867E-11,6.4e-13,NIFS
11009,2E+3,8.530000000000000529194023603E-11,1.2e-12,NIFS
11009,4E+3,1.059999999999999958485007313E-10,1.6e-12,NIFS
11384,1E+3,2.140000000000000171022721167E-12,1.3e-13,NIFS
11384,2E+3,5.659999999999999712482808688E-12,3.1e-13,NIFS
11384,4E+3,1.069999999999999923952647194E-11,4.9e-13,NIFS
11010,1E+3,9.41999999999999984688293118E-12,2.6e-13,NIFS
11010,2E+3,1.20000000000000005664333385E-11,4.4e-13,NIFS
11010,4E+3,1.440000000000000003348515264E-11,5.8e-13,NIFS
11385,1E+3,1.56999999999999997448048853E-12,1.1e-13,NIFS
11385,2E+3,3.78999999999999980462084339E-12,2.5e-13,NIFS
11385,4E+3,6.490000000000000012847701247E-12,3.9e-13,NIFS
11011,1E+3,1.059999999999999926173264636E-12,9e-14,NIFS
11011,2E+3,1.479999999999999954076367152E-12,1.6e-13,NIFS
11011,4E+3,2.069999999999999863449616476E-12,2.2e-13,NIFS
11386,1E+3,6.060000000000000431451677992E-13,6.8e-14,NIFS
11386,2E+3,1.230000000000000009591803179E-12,1.4e-13,NIFS
11386,4E+3,1.880000000000000067200061246E-12,2.1e-13,NIFS
10999,1E+3,8.369999999999999272254195547E-12,2.5e-13,NIFS
10999,2E+3,1.400000000000000012230985028E-11,4.8e-13,NIFS
10999,4E+3,1.899999999999999901200112975E-11,6.7e-13,NIFS
11374,1E+3,1.310000000000000032216541998E-11,3.1e-13,NIFS
11374,2E+3,2.569999999999999913977457812E-11,6.4e-13,NIFS
11374,4E+3,4.930000000000000036146595276E-11,1.1e-12,NIFS
11000,1E+3,9.909999999999999576513963178E-12,2.8e-13,NIFS
11000,2E+3,1.579999999999999972259871089E-11,5.1e-13,NIFS
11000,4E+3,2.200000000000000157699016521E-11,7e-13,NIFS
11375,1E+3,1.710000000000000104950557744E-11,3.6e-13,NIFS
11375,2E+3,3.399999999999999891224923592E-11,7.5e-13,NIFS
11375,4E+3,6.399999999999999871274544827E-11,1.2e-12,NIFS
11001,1E+3,1.180000000000000061084568732E-11,3e-13,NIFS
11001,2E+3,1.810000000000000082744383334E-11,5.4e-13,NIFS
11001,4E+3,2.429999999999999945066101987E-11,7.5e-13,NIFS
11376,1E+3,1.999999999999999878993938564E-11,3.8e-13,NIFS
11376,2E+3,4.250000000000000187148581269E-11,8.1e-13,NIFS
11376,4E+3,7.590000000000000414814636286E-11,1.3e-12,NIFS
11002,1E+3,1.430000000000000005569132705E-11,3.3e-13,NIFS
11002,2E+3,2.229999999999999989478450808E-11,6e-13,NIFS
11002,4E+3,2.95000000000000015271142183E-11,8.3e-13,NIFS
11377,1E+3,2.540000000000000082198023524E-11,4.3e-13,NIFS
11377,2E+3,5.44000000000000008445381917E-11,9.2e-13,NIFS
11377,4E+3,9.650000000000000280484870203E-11,1.4e-12,NIFS
11003,1E+3,1.630000000000000122715497273E-11,3.6e-13,NIFS
11003,2E+3,2.649999999999999896212518283E-11,6.6e-13,NIFS
11003,4E+3,3.60999999999999968303324394E-11,9e-13,NIFS
11378,1E+3,3.110000000000000117181542773E-11,5e-13,NIFS
11378,2E+3,6.669999999999999972876587308E-11,1e-12,NIFS
11378,4E+3,1.089999999999999984134897668E-10,1.5e-12,NIFS
11004,1E+3,1.890000000000000064979443805E-11,3.8e-13,NIFS
11004,2E+3,3.390000000000000055004254422E-11,7.5e-13,NIFS
11004,4E+3,4.800000000000000226573335399E-11,1.1e-12,NIFS
11379,1E+3,3.620000000000000165488766667E-11,5.1e-13,NIFS
11379,2E+3,7.510000000000000432579575814E-11,1.1e-12,NIFS
11379,4E+3,1.080000000000000018667257787E-10,1.5e-11,NIFS
11005,1E+3,5.069999999999999681940524322E-11,6.1e-13,NIFS
11005,2E+3,8.079999999999999498210814727E-11,1.1e-12,NIFS
11005,4E+3,1.139999999999999940720067785E-10,1.6e-12,NIFS
11380,1E+3,1.890000000000000064979443805E-11,3.8e-13,NIFS
11380,2E+3,5.45999999999999975689515751E-11,9.3e-13,NIFS
11380,4E+3,8.969999999999999785252002639E-11,1.4e-12,NIFS
11006,1E+3,8.209999999999999566278016027E-10,1.6e-12,NIFS
11006,2E+3,1.139999999999999992418856069E-9,3e-12,NIFS
11006,4E+3,1.68000000000000019562294103E-9,5e-12,NIFS
11381,1E+3,4.849999999999999730794108026E-12,1.9e-13,NIFS
11381,2E+3,2.30999999999999997171351128E-11,6e-13,NIFS
11381,4E+3,5.489999999999999911792018576E-11,1.1e-12,NIFS
11574,1E+3,5.769999999999999720367759514E-10,1.7e-12,NIFS
11574,2E+3,9.699999999999999590835186763E-10,3.9e-12,NIFS
11574,4E+3,1.509999999999999955492450499E-9,6e-11,NIFS
11012,1E+3,6.490000000000000012847701247E-12,2.2e-13,NIFS
11012,2E+3,1.029999999999999932835116959E-11,4.1e-13,NIFS
11012,4E+3,1.270000000000000041099011762E-11,5.3e-13,NIFS
11387,1E+3,9.999999999999999394969692819E-12,2.8e-13,NIFS
11387,2E+3,1.570000000000000136039201919E-11,5e-13,NIFS
11387,4E+3,2.540000000000000082198023524E-11,7.6e-13,NIFS
11013,1E+3,6.350000000000000205495058811E-12,2.2e-13,NIFS
11013,2E+3,1.0199999999999999350557344E-11,4.1e-13,NIFS
11013,4E+3,1.320000000000000029995924557E-11,5.5e-13,NIFS
11388,1E+3,1.079999999999999921732029753E-11,2.9e-13,NIFS
11388,2E+3,1.890000000000000064979443805E-11,5.5e-13,NIFS
11388,4E+3,3.100000000000000280960873603E-11,8.4e-13,NIFS
11022,1E+3,1.959999999999999887876408328E-11,3.9e-13,NIFS
11022,2E+3,3.660000000000000156606296903E-11,7.7e-13,NIFS
11022,4E+3,6.749999999999999955111647779E-11,1.2e-12,NIFS
11397,1E+3,8.720000000000000002326152055E-12,2.6e-13,NIFS
11397,2E+3,3.439999999999999882342453828E-11,7.6e-13,NIFS
11397,4E+3,7.039999999999999729155028599E-11,1.3e-12,NIFS
11023,1E+3,1.360000000000000021113454793E-11,3.3e-13,NIFS
11023,2E+3,2.240000000000000148816546757E-11,6e-13,NIFS
11023,4E+3,3.879999999999999784635286421E-11,9.3e-13,NIFS
11398,1E+3,5.430000000000000086674436611E-12,2.1e-13,NIFS
11398,2E+3,1.75999999999999993228875715E-11,5.3e-13,NIFS
11398,4E+3,3.810000000000000284855748676E-11,9.5e-13,NIFS
11024,1E+3,5.73999999999999969471786916E-11,6.3e-13,NIFS
11024,2E+3,7.860000000000000516416678766E-11,1.1e-12,NIFS
11024,4E+3,9.870000000000000554748713278E-11,1.5e-12,NIFS
11399,1E+3,4.339999999999999682486884131E-12,1.8e-13,NIFS
11399,2E+3,1.10000000000000007884950826E-11,4.2e-13,NIFS
11399,4E+3,2.170000000000000002802155455E-11,7.2e-13,NIFS
11025,1E+3,1.360000000000000059887546006E-9,3e-12,NIFS
11025,2E+3,1.779999999999999850299339841E-9,5e-12,NIFS
11025,4E+3,2.469999999999999949108329294E-9,7e-12,NIFS
11400,1E+3,3.539999999999999860136279417E-12,1.7e-13,NIFS
11400,2E+3,7.359999999999999334977843706E-12,3.5e-13,NIFS
11400,4E+3,1.110000000000000076628890819E-11,5e-13,NIFS
11026,1E+3,4.640000000000000262103214456E-11,6e-13,NIFS
11026,2E+3,4.770000000000000071676474333E-11,8.6e-13,NIFS
11026,4E+3,5.219999999999999810189976095E-11,1.1e-12,NIFS
11401,1E+3,1.659999999999999994884609908E-12,1.1e-13,NIFS
11401,2E+3,2.640000000000000059991849114E-12,2.1e-13,NIFS
11401,4E+3,3.079999999999999800725968317E-12,2.6e-13,NIFS
11014,1E+3,7.720000000000000224387896163E-12,2.4e-13,NIFS
11014,2E+3,1.20000000000000005664333385E-11,4.4e-13,NIFS
11014,4E+3,1.47000000000000015824537633E-11,5.7e-13,NIFS
11389,1E+3,1.420000000000000007789750146E-11,3.3e-13,NIFS
11389,2E+3,2.520000000000000086639258407E-11,6.3e-13,NIFS
11389,4E+3,4.100000000000000058899129496E-11,9.8e-13,NIFS
11015,1E+3,9.680000000000000758499158048E-12,2.7e-13,NIFS
11015,2E+3,1.440000000000000003348515264E-11,4.8e-13,NIFS
11015,4E+3,1.919999999999999896758878092E-11,6.7e-13,NIFS
11390,1E+3,1.859999999999999910082582739E-11,3.7e-13,NIFS
11390,2E+3,3.51000000000000002835684513E-11,7.4e-13,NIFS
11390,4E+3,5.819999999999999676952929631E-11,1.2e-12,NIFS
11016,1E+3,1.190000000000000058863951291E-11,3e-13,NIFS
11016,2E+3,1.65999999999999995449493156E-11,5.1e-13,NIFS
11016,4E+3,2.389999999999999953948571751E-11,7.6e-13,NIFS
11391,1E+3,2.58000000000000007331555376E-11,4.4e-13,NIFS
11391,2E+3,4.629999999999999779647691729E-11,8.8e-13,NIFS
11391,4E+3,7.940000000000000498651739238E-11,1.3e-12,NIFS
11017,1E+3,1.4799999999999999944660455E-11,3.4e-13,NIFS
11017,2E+3,2.229999999999999989478450808E-11,6e-13,NIFS
11017,4E+3,2.840000000000000015579500292E-11,8e-13,NIFS
11392,1E+3,3.369999999999999736328062526E-11,5.1e-13,NIFS
11392,2E+3,6.250000000000000389259946611E-11,1e-12,NIFS
11392,4E+3,1.049999999999999993017367432E-10,1.6e-12,NIFS
11018,1E+3,1.810000000000000082744383334E-11,3.8e-13,NIFS
11018,2E+3,2.680000000000000051109379349E-11,6.4e-13,NIFS
11018,4E+3,3.529999999999999700798183469E-11,8.8e-13,NIFS
11393,1E+3,4.749999999999999753000282437E-11,6.2e-13,NIFS
11393,2E+3,8.610000000000000511429084075E-11,1.2e-12,NIFS
11393,4E+3,1.289999999999999939722548847E-10,1.7e-12,NIFS
11019,1E+3,2.30000000000000013549284211E-11,4.1e-13,NIFS
11019,2E+3,3.369999999999999736328062526E-11,7.4e-13,NIFS
11019,4E+3,4.89000000000000004502906504E-11,1.1e-12,NIFS
11394,1E+3,6.380000000000000198833206488E-11,7e-13,NIFS
11394,2E+3,1.120000000000000009784788023E-10,1.3e-12,NIFS
11394,4E+3,1.480000000000000059089530855E-10,1.8e-12,NIFS
11020,1E+3,3.50000000000000019213617596E-11,5.3e-13,NIFS
11020,2E+3,5.88000000000000063298150532E-11,9.4e-13,NIFS
11020,4E+3,9.149999999999999422163461921E-11,1.5e-12,NIFS
11395,1E+3,7.610000000000000087255974625E-11,7.6e-13,NIFS
11395,2E+3,1.199999999999999992019848494E-10,1.3e-12,NIFS
11395,4E+3,1.499999999999999990024810618E-10,1.8e-12,NIFS
11021,1E+3,1.610000000000000023759155586E-9,3e-12,NIFS
11021,2E+3,2.109999999999999951502374746E-9,4e-12,NIFS
11021,4E+3,2.819999999999999774451490823E-9,6e-12,NIFS
11396,1E+3,3.700000000000000147723827138E-11,5.2e-13,NIFS
11396,2E+3,8.059999999999999825769476388E-11,1.1e-12,NIFS
11396,4E+3,1.170000000000000095616928851E-10,1.6e-12,NIFS
11554,1E+3,3.949999999999999930649677722E-11,3.2e-13,NIFS
11554,2E+3,1.03000000000000006208208767E-10,7e-13,NIFS
11554,4E+3,2.510000000000000121171618526E-10,1.8e-11,NIFS
10952,1E+3,6.059999999999999623658111045E-12,1.3e-13,NIFS
10952,2E+3,1.180000000000000061084568732E-11,2.4e-13,NIFS
10952,4E+3,1.910000000000000060538208923E-11,5e-13,NIFS
11327,1E+3,3.560000000000000178812471314E-12,1e-13,NIFS
11327,2E+3,9.880000000000000714086809226E-12,2.2e-13,NIFS
11327,4E+3,2.649999999999999896212518283E-11,5.8e-13,NIFS
10953,1E+3,6.229999999999999909025041325E-12,1.3e-13,NIFS
10953,2E+3,1.230000000000000049981481527E-11,2.5e-13,NIFS
10953,4E+3,1.990000000000000042773269394E-11,5e-13,NIFS
11328,1E+3,7.110000000000000198286846679E-12,1.4e-13,NIFS
11328,2E+3,1.870000000000000069420678687E-11,3e-13,NIFS
11328,4E+3,4.029999999999999912884738194E-11,7.3e-13,NIFS
10962,1E+3,5.689999999999999867379669754E-11,4e-13,NIFS
10962,2E+3,9.060000000000000249942585837E-11,6.3e-13,NIFS
10962,4E+3,1.279999999999999974254908965E-10,1.3e-12,NIFS
11337,1E+3,7.67000000000000038695227717E-14,1.4e-14,NIFS
11337,2E+3,6.080000000000000346231086415E-13,5.4e-14,NIFS
11337,4E+3,3.230000000000000171313490174E-12,2e-13,NIFS
10963,1E+3,5.519999999999999905130166252E-12,1.2e-13,NIFS
10963,2E+3,1.220000000000000052202098968E-11,2.4e-13,NIFS
10963,4E+3,2.099999999999999856787764153E-11,5.3e-13,NIFS
11338,1E+3,8.500000000000000384394582124E-14,1.5e-15,NIFS
11338,2E+3,5.219999999999999971748689485E-13,5e-14,NIFS
11338,4E+3,2.479999999999999933963014782E-12,1.8e-13,NIFS
10964,1E+3,1.560000000000000017090784318E-12,6.6e-14,NIFS
10964,2E+3,3.530000000000000104694966942E-12,1.3e-13,NIFS
10964,4E+3,5.879999999999999986746651763E-12,2.8e-13,NIFS
11339,1E+3,6.579999999999999477893745349E-14,1.3e-14,NIFS
11339,2E+3,5.309999999999999588256027389E-13,5e-14,NIFS
11339,4E+3,1.819999999999999918965052503E-12,1.5e-13,NIFS
10965,1E+3,5.529999999999999660571478727E-13,3.9e-14,NIFS
10965,2E+3,1.080000000000000042901064795E-12,7.2e-14,NIFS
10965,4E+3,1.120000000000000074408273378E-12,1.2e-13,NIFS
11340,1E+3,6.579999999999999477893745349E-14,1.3e-14,NIFS
11340,2E+3,4.260000000000000023369250438E-13,4.5e-14,NIFS
11340,4E+3,1.149999999999999946577386013E-12,1.2e-13,NIFS
10966,1E+3,5.749999999999999480451440395E-14,1.3e-14,NIFS
10966,2E+3,1.290000000000000056852616054E-13,2.5e-14,NIFS
10966,4E+3,2.299999999999999792180576158E-13,5.4e-14,NIFS
11341,1E+3,4.659999999999999833570356927E-14,1.1e-14,NIFS
11341,2E+3,2.529999999999999821885731708E-13,3.5e-14,NIFS
11341,4E+3,2.94000000000000009434752175E-13,6.1e-14,NIFS
10954,1E+3,6.889999999999999924023003604E-12,1.4e-13,NIFS
10954,2E+3,1.360000000000000021113454793E-11,2.6e-13,NIFS
10954,4E+3,2.280000000000000139934076992E-11,5.5e-13,NIFS
11329,1E+3,1.029999999999999932835116959E-11,1.6e-13,NIFS
11329,2E+3,2.469999999999999936183632223E-11,3.5e-13,NIFS
11329,4E+3,4.88000000000000020880839587E-11,7.8e-13,NIFS
10955,1E+3,8.450000000000000546958963132E-12,1.5e-13,NIFS
10955,2E+3,1.790000000000000087185618216E-11,2.9e-13,NIFS
10955,4E+3,3.279999999999999917872332885E-11,6.6e-13,NIFS
11330,1E+3,8.230000000000000272695120057E-12,1.5e-13,NIFS
11330,2E+3,2.099999999999999856787764153E-11,3.2e-13,NIFS
11330,4E+3,4.61000000000000010720635339E-11,7.8e-13,NIFS
10956,1E+3,3.620000000000000165488766667E-11,3e-13,NIFS
10956,2E+3,6.229999999999999424348901158E-11,5.6e-13,NIFS
10956,4E+3,9.769999999999999607602607353E-11,1.1e-12,NIFS
11331,1E+3,6.98999999999999949792004572E-13,4.4e-14,NIFS
11331,2E+3,6.789999999999999946229178015E-12,1.8e-13,NIFS
11331,4E+3,2.889999999999999842917699698E-11,6.1e-13,NIFS
10957,1E+3,1.010000000000000027749231339E-9,1e-12,NIFS
10957,2E+3,1.360000000000000059887546006E-9,1e-12,NIFS
10957,4E+3,1.809999999999999953497412622E-9,4e-12,NIFS
11332,1E+3,2.600000000000000028484640531E-13,2.7e-14,NIFS
11332,2E+3,2.060000000000000108008304001E-12,9.9e-14,NIFS
11332,4E+3,1.370000000000000018892837351E-11,4.1e-13,NIFS
10958,1E+3,4.970000000000000027264125511E-11,3e-13,NIFS
10958,2E+3,6.550000000000000645758850157E-11,5.2e-13,NIFS
10958,4E+3,1.010000000000000001899837197E-10,1.1e-12,NIFS
11333,1E+3,2.869999999999999887748612927E-13,2.8e-14,NIFS
11333,2E+3,1.220000000000000052202098968E-12,7.7e-14,NIFS
11333,4E+3,7.420000000000000291006419395E-12,3e-13,NIFS
10959,1E+3,8.840000000000000298796169541E-12,1.6e-13,NIFS
10959,2E+3,2.279999999999999978375363603E-12,3.2e-13,NIFS
10959,4E+3,4.720000000000000244338274928E-11,7.6e-13,NIFS
11334,1E+3,2.299999999999999792180576158E-13,2.5e-14,NIFS
11334,2E+3,1.170000000000000063305186173E-12,7.5e-14,NIFS
11334,4E+3,4.830000000000000219911483076E-12,2.5e-13,NIFS
10960,1E+3,7.439999999999999640330330956E-11,4e-13,NIFS
10960,2E+3,1.070000000000000053199617906E-10,7e-13,NIFS
10960,4E+3,1.570000000000000006792231208E-10,1.4e-12,NIFS
11335,1E+3,1.830000000000000027816050517E-13,2.2e-14,NIFS
11335,2E+3,6.840000000000000137074482546E-13,5.7e-14,NIFS
11335,4E+3,3.899999999999999941752764928E-12,2.2e-13,NIFS
10961,1E+3,9.590000000000001004666913762E-10,1e-12,NIFS
10961,2E+3,1.2699999999999999570884808E-9,3e-12,NIFS
10961,4E+3,1.650000000000000092424868248E-9,3e-12,NIFS
11336,1E+3,1.280000000000000099462911842E-13,1.9e-14,NIFS
11336,2E+3,7.369999999999999898212723127E-13,6e-14,NIFS
11336,4E+3,3.319999999999999989769219815E-12,2.1e-13,NIFS
11559,1E+3,8.109999999999999653107675793E-11,6.5e-13,NIFS
11559,2E+3,1.910000000000000125161694279E-10,1.1e-12,NIFS
11559,4E+3,4.219999999999999903004749491E-10,2.1e-11,NIFS
10967,1E+3,7.689999999999999746373608318E-12,2e-13,NIFS
10967,2E+3,1.4799999999999999944660455E-11,3.3e-13,NIFS
10967,4E+3,2.269999999999999980595981044E-11,5.5e-13,NIFS
11342,1E+3,6.079999999999999942334302942E-12,1.8e-13,NIFS
11342,2E+3,1.38000000000000001667221991E-11,3.2e-13,NIFS
11342,4E+3,2.959999999999999988932090999E-11,6.2e-13,NIFS
10968,1E+3,7.100000000000000038948750731E-12,1.9e-13,NIFS
10968,2E+3,1.360000000000000021113454793E-11,3.1e-13,NIFS
10968,4E+3,2.090000000000000020567094983E-11,5.2e-13,NIFS
11343,1E+3,7.820000000000000202181721752E-12,2e-13,NIFS
11343,2E+3,1.879999999999999905641347857E-11,3.8e-13,NIFS
11343,4E+3,4.079999999999999740222937599E-11,7.3e-13,NIFS
10977,1E+3,4.469999999999999815177570787E-11,4.9e-13,NIFS
10977,2E+3,8.260000000000000427591981123E-11,7.4e-13,NIFS
10977,4E+3,1.369999999999999921957609318E-10,1.4e-12,NIFS
11352,1E+3,3.500000000000000232525854307E-13,4.3e-14,NIFS
11352,2E+3,1.730000000000000100509322862E-12,1.1e-13,NIFS
11352,4E+3,6.390000000000000035053875658E-12,2.9e-13,NIFS
10978,1E+3,5.600000000000000372041366892E-12,1.7e-13,NIFS
10978,2E+3,1.20000000000000005664333385E-11,3e-13,NIFS
10978,4E+3,2.159999999999999843464059507E-11,5.4e-13,NIFS
11353,1E+3,4.079999999999999780612615946E-13,4.6e-14,NIFS
11353,2E+3,1.469999999999999996686662941E-12,1e-13,NIFS
11353,4E+3,4.470000000000000138294997565E-12,2.5e-13,NIFS
10979,1E+3,2.160000000000000085802129591E-12,1.1e-13,NIFS
